AKTV,#genre#
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
TVB J1,http://cdn3.163189.xyz/live/j1/stream.m3u8
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰港澳,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰港澳,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
八度空间,https://tmxk.serv00.net/mytv.php?url=https://cdn6.163189.xyz/live/8tv/stream.m3u8
CH5,https://tmxk.serv00.net/mytv.php?url=https://cdn6.163189.xyz/live/ch5/stream.m3u8
CH8,https://tmxk.serv00.net/mytv.php?url=https://cdn6.163189.xyz/live/ch8/stream.m3u8
CHU,https://tmxk.serv00.net/mytv.php?url=https://cdn6.163189.xyz/live/chu/stream.m3u8
翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=huali
无线新闻台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
千禧经典台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB娱乐新闻台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=Celestial
天映经典,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=aod
Astro AEC,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=Huahee
八度空间,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/smt.php?id=TV8
华丽翡翠台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=huali2
亚洲武侠,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVB生活台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=tvbsh
TVB娱乐新闻台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
无线新闻台,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
TVB星河,https://tmxk.serv00.net/mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
龙华电影,https://tmxk.serv00.net/mytv.php?url=https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://tmxk.serv00.net/mytv.php?url=https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://tmxk.serv00.net/mytv.php?url=https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://tmxk.serv00.net/mytv.php?url=https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://tmxk.serv00.net/mytv.php?url=https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://tmxk.serv00.net/mytv.php?url=https://cdn8.163189.xyz/live/lhxj/stream.m3u8
